,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
182,La tumba de los muertos vivientes,movie,2.7,82.0,1982,Horror,2510,1982-04-21,Jesús Franco,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
222,Mortuary,movie,5.1,93.0,1982,Horror,2516,1982-05-07,Howard Avedis,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,Creepshow,movie,6.8,120.0,1982,"Comedy, Fantasy, Horror",49776,1982-05-20,George A. Romero,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
30,La morte vivante,movie,5.7,90.0,1982,Horror,2347,1982-08-25,Jean Rollin,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,Zeder,movie,6.2,98.0,1983,"Horror, Mystery",2318,1983-06-30,Pupi Avati,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
134,Night Shadows,movie,5.0,99.0,1984,"Horror, Sci-Fi, Thriller",2573,1984-07-06,"Mark Rosman, John 'Bud' Cardos",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168,Night of the Comet,movie,6.3,95.0,1984,"Comedy, Horror, Sci-Fi",21929,1984-08-31,Thom Eberhardt,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
244,Death Warmed Up,movie,4.5,82.0,1984,"Horror, Sci-Fi",1282,1984-11-30,David Blyth,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,The Stuff,movie,5.9,87.0,1985,"Comedy, Horror, Sci-Fi",17088,1985-03-30,Larry Cohen,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
186,The Return of the Living Dead,movie,7.3,91.0,1985,"Comedy, Horror, Sci-Fi",63617,1985-04-18,Dan O'Bannon,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
117,Day of the Dead,movie,7.1,101.0,1985,"Horror, Thriller",70945,1985-06-30,George A. Romero,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
101,Cementerio del terror,movie,5.4,91.0,1985,"Horror, Thriller",1145,1985-07-12,Rubén Galindo Jr.,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,Hard Rock Zombies,movie,4.4,98.0,1985,"Comedy, Horror, Music",1611,1985-08-28,Krishna Shah,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
127,Dèmoni,movie,6.6,88.0,1985,Horror,24624,1985-10-04,Lamberto Bava,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,Night of the Creeps,movie,6.7,88.0,1986,"Comedy, Horror, Sci-Fi",24585,1986-08-22,Fred Dekker,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Deadly Friend,movie,5.5,91.0,1986,"Drama, Horror, Sci-Fi, Thriller",8207,1986-10-10,Wes Craven,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
172,Zombie High,movie,4.2,93.0,1987,"Comedy, Horror",1318,1987-10-02,Ron Link,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
100,Prince of Darkness,movie,6.7,102.0,1987,Horror,46123,1987-10-21,John Carpenter,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187,Return of the Living Dead: Part II,movie,5.7,89.0,1988,"Comedy, Horror, Sci-Fi",20438,1988-01-08,Ken Wiederhorn,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
83,The Serpent and the Rainbow,movie,6.4,98.0,1988,"Fantasy, Horror",26406,1988-02-05,Wes Craven,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
199,Maniac Cop,movie,6.0,85.0,1988,"Action, Crime, Horror, Mystery",18184,1988-03-31,William Lustig,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
51,Dead Heat,movie,6.0,84.0,1988,"Action, Comedy, Horror, Sci-Fi, Thriller",8530,1988-05-06,Mark Goldblatt,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
