Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
46,tt1925435,2014-02-18,2014-02-18,,Frankenstein's Army,https://www.imdb.com/title/tt1925435/,movie,5.3,84,2013,"Horror, Sci-Fi",8800,2013-01-26,Richard Raaphorst
47,tt0439615,2014-02-18,2014-02-18,,Horrors of War,https://www.imdb.com/title/tt0439615/,movie,2.9,99,2006,"Action, Horror, Sci-Fi, War",1225,2006-03-25,"Peter John Ross, John Whitney"
48,tt0076704,2014-02-18,2014-02-18,,Shock Waves,https://www.imdb.com/title/tt0076704/,movie,5.5,85,1977,"Horror, Mystery, Sci-Fi",5807,1977-06-22,Ken Wiederhorn
49,tt0028478,2014-02-18,2014-02-18,,The Walking Dead,https://www.imdb.com/title/tt0028478/,movie,6.6,66,1936,"Crime, Drama, Horror, Sci-Fi",2789,1936-03-01,Michael Curtiz
50,tt1876547,2014-02-18,2014-02-18,,Zombie Apocalypse,https://www.imdb.com/title/tt1876547/,tvMovie,4.0,87,2011,"Action, Adventure, Horror, Sci-Fi, Thriller",5397,2011-10-29,Nick Lyon
51,tt0068621,2014-02-18,2014-02-18,,Garden of the Dead,https://www.imdb.com/title/tt0068621/,movie,4.0,59,1972,"Sci-Fi, Horror",559,1972-09-13,John Hayes
52,tt0094961,2014-02-18,2014-02-18,,Dead Heat,https://www.imdb.com/title/tt0094961/,movie,6.0,84,1988,"Action, Comedy, Horror, Sci-Fi, Thriller",8530,1988-05-06,Mark Goldblatt
53,tt0265870,2014-02-18,2014-02-18,,They Saved Hitler's Brain,https://www.imdb.com/title/tt0265870/,tvMovie,2.4,91,1968,"Action, Adventure, Sci-Fi, Thriller",898,1968-08-18,David Bradley
54,tt0060434,2014-02-18,2014-02-18,,The Frozen Dead,https://www.imdb.com/title/tt0060434/,movie,5.0,95,1966,"Horror, Sci-Fi",1002,1966-10-31,Herbert J. Leder
55,tt0960890,2014-02-18,2014-02-18,,Zombie Strippers!,https://www.imdb.com/title/tt0960890/,movie,4.1,94,2008,"Comedy, Horror, Sci-Fi",18602,2008-02-23,Jay Lee
56,tt1156398,2014-02-18,2014-02-18,,Zombieland,https://www.imdb.com/title/tt1156398/,movie,7.6,88,2009,"Action, Comedy, Horror",587581,2009-09-25,Ruben Fleischer
57,tt0496444,2014-02-18,2014-02-18,,Zombie Town,https://www.imdb.com/title/tt0496444/,video,4.3,95,2007,"Action, Comedy, Horror, Sci-Fi, Thriller",751,2007-03-14,Damon Lemay
